Well,[B],[C],Measured Ratio,Starting Ratio,v,Replicate,Strain
B2,97.74,0.94,0.99047426,0.99,,1,GFP
B3,86.69,9.23,0.903773978,0.9,,1,GFP
B4,45.01,49.53,0.476094775,0.5,,1,GFP
B5,7.47,88,0.078244475,0.1,,1,GFP
B6,1.18,98.13,0.011881986,0.01,,1,GFP
B7,98.84,0.34,0.996571889,0.99,,1,Phi2
B8,97.64,1.08,0.989059968,0.9,,1,Phi2
B9,89.4,7.85,0.919280206,0.5,,1,Phi2
B10,47.32,48.91,0.491738543,0.1,,1,Phi2
B11,7.78,90.36,0.079274506,0.01,,1,Phi2
C2,97.73,1.3,0.986872665,0.99,,2,GFP
C3,85.74,9.02,0.904812157,0.9,,2,GFP
C4,45.68,49.8,0.478424801,0.5,,2,GFP
C5,7.62,88.41,0.079350203,0.1,,2,GFP
C6,0.97,96.52,0.009949738,0.01,,2,GFP
C7,98.55,0.33,0.996662621,0.99,,2,Phi2
C8,89.46,2.52,0.97260274,0.9,,2,Phi2
C9,88.98,7.51,0.9221681,0.5,,2,Phi2
C10,49.18,46.04,0.516488133,0.1,,2,Phi2
C11,7.66,90.05,0.078395251,0.01,,2,Phi2
D2,97.83,0.99,0.989981785,0.99,,3,GFP
D3,88.89,7.87,0.918664737,0.9,,3,GFP
D4,52.61,43.54,0.547165887,0.5,,3,GFP
D5,8.19,86.65,0.086355968,0.1,,3,GFP
D6,1.27,97.03,0.012919634,0.01,,3,GFP
D7,98.93,0.26,0.997378768,0.99,,3,Phi2
D8,97.28,1,0.98982499,0.9,,3,Phi2
D9,94.5,3.74,0.961929967,0.5,,3,Phi2
D10,74.66,20.65,0.783338579,0.1,,3,Phi2
D11,9.27,88.68,0.094640123,0.01,,3,Phi2
E2,96.77,1.39,0.985839446,0.99,,1,Phi4
E3,90.3,6.72,0.930735931,0.9,,1,Phi4
E4,80.53,15.86,0.83546011,0.5,,1,Phi4
E5,33.27,59.72,0.357780406,0.1,,1,Phi4
E6,5.93,91.8,0.060677376,0.01,,1,Phi4
E7,98.85,0.26,0.997376652,0.99,,1,Phi2/Phi4
E8,97.92,0.97,0.990191121,0.9,,1,Phi2/Phi4
E9,89.62,6.77,0.929764498,0.5,,1,Phi2/Phi4
E10,44.42,47.09,0.48541143,0.1,,1,Phi2/Phi4
E11,9.62,87.47,0.099083325,0.01,,1,Phi2/Phi4
F2,98.07,0.7,0.992912828,0.99,,2,Phi4
F3,89.91,6.53,0.932289506,0.9,,2,Phi4
F4,78.5,14.45,0.844540075,0.5,,2,Phi4
F5,36.9,57.44,0.391138435,0.1,,2,Phi4
F6,6.58,92.33,0.066525124,0.01,,2,Phi4
F7,97.21,0.45,0.995392177,0.99,,2,Phi2/Phi4
F8,88.1,1.59,0.982272271,0.9,,2,Phi2/Phi4
F9,91.37,5.42,0.94400248,0.5,,2,Phi2/Phi4
F10,54.51,38.99,0.582994652,0.1,,2,Phi2/Phi4
F11,3.24,96.09,0.032618544,0.01,,2,Phi2/Phi4
G2,97.73,0.73,0.992585822,0.99,,3,Phi4
G3,89.43,7.58,0.921863725,0.9,,3,Phi4
G4,71.26,26.04,0.732374101,0.5,,3,Phi4
G5,34.5,58.09,0.372610433,0.1,,3,Phi4
G6,1.58,97.69,0.015916188,0.01,,3,Phi4
G7,98.24,0.33,0.996652125,0.99,,3,Phi2/Phi4
G8,97.57,0.82,0.99166582,0.9,,3,Phi2/Phi4
G9,89.81,6.23,0.935131195,0.5,,3,Phi2/Phi4
G10,51.55,41.24,0.555555556,0.1,,3,Phi2/Phi4
G11,8.37,89.4,0.085609083,0.01,,3,Phi2/Phi4
