Cycle Nr.,Time [s],Temp. [°C],A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,0,24.9,0.1112,0.1207,0.1223,0.1204,0.1032,0.1021,0.1036,0.1035,0.1032,0.1029,0.1046,0.1025,0.1416,0.1249,0.1251,0.1248,0.1234,0.1235,0.125,0.1225,0.1238,0.1235,0.1236,0.1276,0.1186,0.121,0.117,0.1172,0.1144,0.1196,0.1186,0.1171,0.1219,0.1177,0.1196,0.1205,0.1381,0.1087,0.1175,0.1145,0.1125,0.1147,0.1056,0.1058,0.1106,0.1152,0.1131,0.1125,0.7119,0.1198,0.1188,0.1205,0.1208,0.1189,0.1211,0.1181,0.1259,0.123,0.1207,0.1256,0.1351,0.1202,0.1169,0.1164,0.1234,0.1211,0.1162,0.119,0.1196,0.1192,0.1152,0.1226,0.1692,0.1578,0.1328,0.1225,0.1241,0.1246,0.1182,0.1174,0.1304,0.1253,0.1266,0.1307,0.1018,0.1195,0.1034,0.103,0.1033,0.1115,0.1018,0.1037,0.1032,0.107,0.1094,0.1043
2,1800.016,37.2,0.1105,0.1246,0.1283,0.1243,0.1028,0.1014,0.1028,0.1028,0.1028,0.1023,0.1035,0.1017,0.1501,0.1377,0.1355,0.1368,0.1333,0.1346,0.138,0.1346,0.1333,0.1392,0.1383,0.1398,0.1279,0.1294,0.1243,0.1252,0.1218,0.1295,0.1288,0.1267,0.1318,0.1295,0.1312,0.1265,0.1443,0.1186,0.1237,0.1194,0.1192,0.1211,0.114,0.1146,0.1188,0.1225,0.1224,0.1234,0.2383,0.1303,0.1322,0.1289,0.1297,0.1274,0.1328,0.1305,0.1403,0.1355,0.135,0.1222,0.1452,0.1297,0.1235,0.12,0.1297,0.1265,0.1234,0.1282,0.128,0.1302,0.1258,0.1164,0.1592,0.1393,0.1522,0.1293,0.1323,0.1325,0.1276,0.1261,0.1346,0.1317,0.1334,0.1278,0.1015,0.1183,0.1028,0.1026,0.1027,0.1108,0.1011,0.1033,0.1027,0.1066,0.1084,0.1036
3,3600.021,37,0.1105,0.1331,0.1375,0.1291,0.1027,0.1015,0.103,0.1028,0.1027,0.1022,0.1034,0.1017,0.1649,0.1495,0.1482,0.1506,0.1443,0.1493,0.1509,0.1488,0.1486,0.1546,0.1516,0.1236,0.1386,0.1359,0.1338,0.1353,0.1314,0.1405,0.1411,0.1389,0.1435,0.1408,0.144,0.1274,0.16,0.1249,0.13,0.1257,0.1244,0.1286,0.1252,0.1277,0.1301,0.1325,0.1315,0.1243,0.1209,0.1332,0.1389,0.1368,0.1403,0.139,0.1462,0.1425,0.1531,0.1499,0.1505,0.1253,0.1484,0.1289,0.1256,0.125,0.1361,0.1323,0.1319,0.1344,0.1356,0.1391,0.1366,0.1224,0.1524,0.135,0.1577,0.1356,0.1388,0.139,0.1343,0.1334,0.1443,0.1421,0.1438,0.1302,0.1015,0.1179,0.1027,0.1025,0.1028,0.111,0.1011,0.1032,0.1026,0.1065,0.1084,0.1036
4,5400.039,37,0.1106,0.1638,0.1573,0.1478,0.1026,0.1015,0.1028,0.1029,0.1028,0.1023,0.1035,0.1018,0.1812,0.1693,0.1668,0.1726,0.1683,0.1759,0.1768,0.1666,0.1726,0.1721,0.1683,0.1544,0.1466,0.1519,0.1458,0.1498,0.1365,0.1711,0.1698,0.1468,0.1655,0.1546,0.1613,0.1335,0.1687,0.1322,0.1389,0.1408,0.1366,0.1421,0.1331,0.1392,0.1416,0.142,0.142,0.1315,0.1355,0.1414,0.1472,0.1524,0.1521,0.1509,0.155,0.1537,0.1704,0.1635,0.1665,0.1359,0.1566,0.1385,0.1352,0.138,0.1522,0.1527,0.1437,0.1474,0.1502,0.1525,0.1479,0.1296,0.1775,0.1501,0.1681,0.1547,0.1571,0.1564,0.143,0.1445,0.1645,0.1584,0.1605,0.1353,0.1015,0.1182,0.1028,0.1025,0.1028,0.1111,0.1011,0.1032,0.1026,0.1065,0.1083,0.1037
5,7200.049,37,0.1105,0.1871,0.1896,0.1664,0.1026,0.1014,0.1028,0.1029,0.1028,0.1023,0.1035,0.1018,0.211,0.2017,0.1886,0.195,0.1854,0.1958,0.2048,0.1984,0.2015,0.2097,0.2061,0.1851,0.1706,0.1717,0.1664,0.1671,0.1622,0.1774,0.1781,0.1738,0.1839,0.177,0.1809,0.1675,0.1929,0.1485,0.1643,0.1579,0.1548,0.1587,0.1448,0.1545,0.1612,0.1599,0.1574,0.1498,0.1564,0.1602,0.1645,0.1679,0.17,0.1666,0.1731,0.1674,0.1858,0.1792,0.1811,0.1642,0.1731,0.1617,0.1567,0.1585,0.1743,0.1714,0.1582,0.1646,0.1638,0.1699,0.1619,0.1498,0.1984,0.1651,0.1852,0.1743,0.1732,0.1742,0.1614,0.1657,0.1862,0.178,0.1812,0.1658,0.1014,0.1178,0.1026,0.1025,0.1026,0.1109,0.1012,0.1031,0.1025,0.1065,0.1083,0.1035
6,9000.057,36.9,0.1105,0.2283,0.213,0.2069,0.1027,0.1014,0.103,0.1029,0.1027,0.1024,0.1036,0.1019,0.2479,0.2337,0.2396,0.2451,0.2295,0.2401,0.2472,0.2365,0.241,0.2388,0.2343,0.2309,0.2044,0.2002,0.2009,0.2156,0.2052,0.2238,0.2289,0.2143,0.2303,0.2173,0.2125,0.1919,0.2298,0.1702,0.1967,0.1952,0.1794,0.1895,0.1602,0.1696,0.1807,0.1709,0.1796,0.1584,0.1958,0.1796,0.1907,0.2023,0.2046,0.1947,0.209,0.1956,0.2233,0.2066,0.2086,0.1949,0.204,0.181,0.181,0.1842,0.1985,0.1987,0.1798,0.1886,0.1854,0.1879,0.1827,0.1733,0.2178,0.2065,0.2151,0.2028,0.202,0.2059,0.1853,0.1881,0.2171,0.2043,0.2099,0.2032,0.1016,0.1183,0.1029,0.1027,0.1028,0.1112,0.1012,0.1031,0.1028,0.1067,0.1083,0.1038
7,10800.064,36.9,0.1105,0.2675,0.252,0.2296,0.1026,0.1014,0.1029,0.1029,0.1026,0.1023,0.1034,0.1017,0.2927,0.2927,0.303,0.3106,0.29,0.2906,0.3043,0.2868,0.2827,0.275,0.2739,0.2698,0.2417,0.2428,0.2558,0.265,0.2492,0.2761,0.2695,0.2527,0.2686,0.2536,0.2494,0.2307,0.2756,0.1935,0.2368,0.2329,0.2285,0.2262,0.1838,0.1859,0.2125,0.2105,0.2014,0.1769,0.2413,0.2092,0.2297,0.2432,0.2448,0.2375,0.2575,0.2391,0.2686,0.2437,0.243,0.2347,0.2488,0.21,0.2169,0.2248,0.2399,0.2406,0.217,0.2275,0.2229,0.2187,0.2034,0.2108,0.268,0.2497,0.2469,0.2373,0.2357,0.2419,0.2182,0.2219,0.2578,0.2382,0.2381,0.247,0.1015,0.1181,0.1027,0.1025,0.1026,0.1111,0.1011,0.103,0.1027,0.1066,0.1085,0.1037
8,12600.071,37.1,0.1104,0.3536,0.3294,0.3068,0.1026,0.1014,0.1029,0.1029,0.1028,0.1025,0.1035,0.1018,0.3681,0.3618,0.3607,0.3691,0.3601,0.3625,0.3693,0.358,0.3426,0.3448,0.3395,0.3514,0.3035,0.2944,0.2922,0.3149,0.2939,0.3289,0.3147,0.2902,0.3085,0.2913,0.2937,0.2953,0.345,0.2296,0.2898,0.2784,0.2643,0.2701,0.2148,0.2256,0.2459,0.2379,0.2364,0.2044,0.309,0.256,0.2797,0.2994,0.2987,0.2875,0.3226,0.2873,0.3255,0.2892,0.2885,0.3005,0.3136,0.2557,0.2663,0.2722,0.2907,0.2988,0.2678,0.2778,0.2671,0.2561,0.2345,0.2497,0.3435,0.316,0.3028,0.2912,0.2909,0.2973,0.2663,0.2685,0.3123,0.2834,0.2866,0.3026,0.1016,0.1185,0.1028,0.1025,0.1029,0.1114,0.1011,0.1031,0.1027,0.1065,0.1085,0.1037
9,14400.076,37.2,0.1104,0.4977,0.4759,0.3968,0.1026,0.1015,0.1029,0.1028,0.1028,0.1024,0.1036,0.1018,0.4666,0.4674,0.47,0.475,0.4597,0.4576,0.4746,0.4169,0.4036,0.4008,0.4007,0.4394,0.3767,0.3508,0.3582,0.3914,0.3568,0.4051,0.403,0.3574,0.3769,0.3469,0.3516,0.3672,0.4378,0.2756,0.359,0.3437,0.3243,0.3375,0.2538,0.2635,0.2891,0.2808,0.2727,0.2438,0.4243,0.3128,0.3513,0.3737,0.3788,0.359,0.4093,0.3606,0.4056,0.3536,0.3483,0.3836,0.4084,0.3185,0.3368,0.3442,0.371,0.3778,0.3435,0.3494,0.3296,0.3048,0.2776,0.3065,0.4514,0.4227,0.3811,0.3622,0.3668,0.3785,0.3315,0.3331,0.3865,0.3491,0.3466,0.3703,0.1014,0.1184,0.1029,0.1026,0.1027,0.1112,0.1012,0.1031,0.1027,0.1065,0.1084,0.1039
10,16200.095,37,0.1105,0.7788,0.7422,0.7007,0.1026,0.1015,0.1029,0.103,0.1027,0.1025,0.1036,0.1018,0.6546,0.6871,0.7027,0.796,0.7746,0.7489,0.7491,0.6737,0.6182,0.5949,0.6096,0.6145,0.5372,0.5035,0.5492,0.7562,0.5815,0.783,0.7729,0.5407,0.5554,0.4771,0.4486,0.5386,0.6109,0.3457,0.5118,0.5037,0.457,0.4984,0.3205,0.3325,0.3604,0.3485,0.3307,0.2988,0.557,0.402,0.454,0.5294,0.5745,0.5328,0.6162,0.514,0.573,0.475,0.46,0.5339,0.5437,0.4052,0.444,0.4672,0.5157,0.5392,0.479,0.4798,0.4319,0.3789,0.3486,0.3917,0.5732,0.5201,0.4964,0.4828,0.4885,0.5106,0.4375,0.4301,0.5167,0.4653,0.4595,0.4821,0.1016,0.1181,0.1029,0.1026,0.1029,0.111,0.1014,0.1031,0.1027,0.1066,0.1086,0.1039
